smiles,cluster_id2
C=C1CCN(C(=O)[C@@H]2[C@H]3CCN(C(=O)CC4=NC=CC=C4F)C[C@H]32)C1,65053
C=C1CCN(C(=O)[C@@H]2[C@H]3C[C@H]3CN2C(=O)CC2=CC=C(F)N=C2)CC1,65053
COC1=CC=C(Br)N=C1N1CCC(C(=O)N2CCCC(C)C2)CC1,65053
C=C1CCN(C(=O)[C@H]2COCCN2C(=O)C2=C(F)C(F)=CC=C2)CC1,65053
C=C1CCN(C(=O)[C@H]2COCCN2C(=O)C2=CC(F)=CC=C2F)CC1,65053
COC1=CC=C(Br)N=C1N1CCCC(C(=O)N2CCC(C)CC2)C1,65053
O=C(C1=CN=CC(C2CC2)=C1)N1C[C@H]2CC(F)(F)CC[C@@]2(C(=O)O)C1,65053
C=C1CCN(C(=O)[C@H]2C[C@H]3CC[C@@H]2N3C(=O)C2=NC=C(F)C=C2F)CC1,65053
C=C1CCN(C(=O)[C@H]2[C@H]3CC[C@H](C3)N2C(=O)C2=NC=C(F)C=C2F)CC1,65053
CN1CCC(=CC(=O)OC2CCCN(C3=CC=C(Cl)C=C3Cl)C2=O)CC1,65053
NC(=O)C1=CCN(C2CCCN(C3=CC=C(F)C(F)=C3)C2=O)CC1,65053
CCS(=O)(=O)N1CC2(CCN(C(=O)C3=CC(F)=CC(C4CC4)=C3)C2)C1,65053
CCS(=O)(=O)N1CCC(C(=O)N2CC3(CC3)C3=CC(Cl)=CC=C32)CC1,65053
CCS(=O)(=O)N1CCC(C(=O)N2CCCC2C2=CC=CC=C2F)CC1,65053
C=C1CCN(C2=C(N3CCC(OC4=CC=C(F)C=C4F)CC3)C(=O)C2=O)C1,65053
C=C1CCN(C2=C(N3CCN(CC4=CC(F)=CC=C4F)CC3)C(=O)C2=O)C1,65053
CC1=CC(NC2CC3CC3C2)=NC=C1S(=O)(=O)N1CCC(F)(F)CC1,65053
CN1CCC(C(=O)N(C)C2CCN(C3=CC=C(F)C=C3)CC2)CC1=O,65053
CC1=CC=C(C)C(S(=O)(=O)N2CC3(CCN(C(=O)C4CCC4F)C3)C2)=C1,65053
CC1=CC=C(C)C(S(=O)(=O)N2CCC(OC3CCN(C)CC3)CC2)=C1,65053
CC1=CC=C(C)C(S(=O)(=O)N2CCCCN(C(=O)C3CC3F)CCC2)=C1,65053
CC1=CC=C(C)C(S(=O)(=O)N2CCCN(C(=O)C3CCC(F)C3)CC2)=C1,65053
CCS(=O)(=O)N1CCC2(CCN(C(=O)C3=CC(F)=CC(C4CC4)=C3)C2)C1,65053
CCS(=O)(=O)N1CCC2(CCN(C(=O)[C@H]3C[C@@H]3C3=CC(F)=CC=C3)C2)C1,65053
CC1=CC=C(C)C(S(=O)(=O)N2CCN(C(=O)C34CSCC3C4)CC2)=C1,65053
CC1=CC=C(C)C(S(=O)(=O)N2CCN(C(=O)C3CC=CC3)C3CC32)=C1,65053
CC1=CC=C(C)C(S(=O)(=O)N2CCN(C(=O)C3CCC(F)CC3)CC2)=C1,65053
CC1=CC=C(C)C(S(=O)(=O)N2CCN(C(=O)C3CCCC(F)C3)CC2)=C1,65053
CCS(=O)(=O)N1CCCC(C(=O)N2CCCC2C2=CC=CC=C2F)C1,65053
C=C1CCN(C2=CC(Br)=CC=C2S(=O)(=O)N2CCOC(CC)C2)CC1,65053
C=C1CCN(C2=CC=C(Br)C(S(=O)(=O)N3CCC(C)(F)CC3)=N2)CC1,65053
C=C1CCN(C2=CC=C(Br)C(S(=O)(=O)N3CCC(C)C(C)C3)=N2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N(C)C3CC3C)C3=CC=NC=C23)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N(C)[C@@H]3CCCC[C@H]3O)C=C2F)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3C(C)CCCC3C)C=N2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3C(C)COCC3C)C(Cl)=C2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CC(C)=CC(C)C3)C=N2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CC(C)CC(OC)C3)C=C2F)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CC(CC)CCC3C)C=N2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CC(O)CCC3C)C=C2Cl)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CC4C(C3)C4(C)C)C=N2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CC=CC(OC)C3)C(Cl)=C2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCC(O)C(F)C3)C=C2Br)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCC(O)CC(C)C3)C=C2F)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCC(OC)C(C)C3)C(Cl)=C2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCC(OC)C(C)C3)C=C2Br)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCC(OC)CC3C)C=C2Cl)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCC(C4CC4(F)F)C3)C=C2Cl)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCC(CC)C3)C=C2F)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCC(CO)CC3)C=C2F)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCC(O)C3C)C(Br)=C2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCCC3CF)C(Cl)=C2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCN(C)CC3)C=C2Cl)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCN(C)CC3)C=C2F)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCN(C)CC3CC)C(Br)=C2)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCN(C)CC3CC)C=C2F)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCOC(C)C3)C=C2F)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCOC(CC)C3)C=C2Cl)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCCO[C@@H](C)C3)C(Cl)=C2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCC[C@H](O)[C@@H]3C)C=C2Cl)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCC[C@H](OC)[C@@H]3C)C=C2F)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCN(C)CC3C)C=C2Cl)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCN(C)CCC3C)C=C2Cl)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCN(C4(C)CC4)CC3)C=C2F)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCN(CC)CC3)C=C2F)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCOC(C)CC3)C=C2Cl)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCOC(CC)CC3)C(Br)=C2)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCOCC(C)(F)C3)C=C2Cl)C1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCOC[C@H]3CC)C(Cl)=C2)CC1,65053
C=C1CCN(C2=CC=C(S(=O)(=O)N3CCO[C@@H](CC)C3)C=C2Cl)CC1,65053
